film_id;year;creator_id
903;1975;11036
903;1975;11468
903;1975;12095
904;1975;11206
904;1975;11257
904;1975;11785
904;1975;12098
905;1975;11106
905;1975;11899
905;1975;12065
906;1975;11272
906;1975;11903
906;1975;11970
907;1975;11010
907;1975;11509
907;1975;11839
908;1975;11242
908;1975;11785
908;1975;12079
909;1975;11369
909;1975;11509
909;1975;11839
910;1975;11157
910;1975;11852
910;1975;11970
910;1975;33004
911;1975;11509
911;1975;11839
911;1975;33005
912;1975;11438
912;1975;11852
912;1975;12073
912;1975;33001
913;1975;11371
913;1975;11831
913;1975;12157
914;1975;11330
914;1975;12044
914;1975;33003
915;1975;11150
915;1975;11200
915;1975;11870
915;1975;12070
916;1975;11371
916;1975;11832
916;1975;12157
917;1975;11143
917;1975;11174
917;1975;11294
917;1975;11852
917;1975;11970
918;1975;11831
918;1975;12070
918;1975;33002
918;1975;33005
919;1975;11150
919;1975;11200
919;1975;11870
919;1975;12079
920;1975;11131
920;1975;11143
920;1975;11174
920;1975;11356
921;1976;11088
921;1976;11357
921;1976;11450
921;1976;11870
922;1976;11368
922;1976;11405
922;1976;11450
923;1976;11092
923;1976;11500
923;1976;11916
923;1976;12070
924;1976;11356
924;1976;11448
924;1976;11473
924;1976;11852
925;1976;11058
925;1976;11077
925;1976;11509
925;1976;11903
926;1976;11174
926;1976;11238
926;1976;11294
926;1976;11852
926;1976;12079
927;1976;11106
927;1976;11899
927;1976;12065
928;1976;11046
928;1976;11282
928;1976;11831
928;1976;12142
929;1976;11229
929;1976;11899
929;1976;12079
930;1976;11121
930;1976;11916
930;1976;12070
931;1976;11206
931;1976;11356
931;1976;11368
931;1976;11770
932;1976;11441
932;1976;11839
932;1976;11970
933;1976;11356
933;1976;11426
933;1976;11506
933;1976;11852
934;1976;11272
934;1976;11903
934;1976;11970
935;1976;11177
935;1976;11330
935;1976;11831
935;1976;12044
936;1976;11082
936;1976;11409
936;1976;11435
936;1976;11761
936;1976;11773
936;1976;11903
936;1976;12031
936;1976;12073
936;1976;12103
936;1976;12123
937;1976;11010
937;1976;11509
937;1976;11839
304;1977;11131
304;1977;11151
304;1977;11356
304;1977;11770
364;1977;11099
364;1977;11438
364;1977;11916
364;1977;12024
938;1977;11058
938;1977;11077
938;1977;11903
938;1977;11970
939;1977;11388
939;1977;11852
939;1977;12005
940;1977;11456
940;1977;11842
940;1977;12123
941;1977;11264
941;1977;11870
941;1977;12021
942;1977;11421
942;1977;11811
942;1977;12098
943;1977;11010
943;1977;11263
943;1977;11517
943;1977;11903
943;1977;12161
944;1977;11206
944;1977;11620
944;1977;11796
944;1977;12079
945;1977;11074
945;1977;11119
945;1977;11818
945;1977;11975
945;1977;12002
945;1977;12079
946;1977;11082
946;1977;11409
946;1977;11795
946;1977;11970
946;1977;12123
947;1977;11290
947;1977;11369
947;1977;11509
947;1977;11839
948;1977;11150
948;1977;11200
948;1977;12146
950;1977;11184
950;1977;11371
950;1977;11831
950;1977;12157
951;1977;11356
951;1977;11387
951;1977;11509
951;1977;11839
953;1977;11126
953;1977;11870
953;1977;11981
953;1977;12157
954;1977;11133
954;1977;11439
954;1977;12070
955;1977;11121
955;1977;11916
955;1977;12070
956;1977;11100
956;1977;11293
956;1977;11899
956;1977;12065
957;1977;11015
957;1977;11238
957;1977;11294
957;1977;11852
957;1977;12079
958;1977;11010
958;1977;11509
958;1977;11852
959;1977;11147
959;1977;11356
959;1977;11437
959;1977;11507
959;1977;11916
960;1977;11006
960;1977;11022
960;1977;11216
960;1977;11870
960;1977;11970
961;1977;11094
961;1977;11869
961;1977;12035
962;1978;11055
962;1978;11450
962;1978;11870
963;1978;11174
963;1978;11193
963;1978;11770
963;1978;12079
964;1978;11157
964;1978;11494
964;1978;11852
964;1978;11970
965;1978;11010
965;1978;11852
965;1978;12005
966;1978;11288
966;1978;11435
966;1978;11509
966;1978;11903
967;1978;11213
967;1978;11377
967;1978;11841
967;1978;11890
967;1978;12005
968;1978;11516
968;1978;11916
968;1978;12070
969;1978;11046
969;1978;11216
969;1978;11506
969;1978;11831
969;1978;12064
970;1978;11206
970;1978;11620
970;1978;11796
970;1978;12079
971;1978;11174
971;1978;11423
971;1978;11916
971;1978;12024
972;1978;11090
972;1978;11839
972;1978;12071
973;1978;11235
