film_id;year;creator_id;award
936;1976;11082;1
936;1976;11409;1
936;1976;11435;1
936;1976;11761;1
936;1976;11773;1
936;1976;11903;1
936;1976;12031;1
936;1976;12073;1
936;1976;12103;1
936;1976;12123;1
1014;1979;11424;1
1014;1979;11440;1
1014;1979;11528;1
1014;1979;11842;1
1014;1979;11878;1
1014;1979;11980;1
1014;1979;12116;1
1014;1979;12174;1
1075;1983;11196;1
1190;1989;11089;1
1190;1989;11220;1
1190;1989;11393;1
1190;1989;11846;1
1190;1989;11868;1
1190;1989;11886;1
1190;1989;12104;1
1191;1989;11067;1
1195;1989;11198;1
1195;1989;11216;1
1195;1989;11509;1
1195;1989;11868;1
1195;1989;11886;1
1195;1989;12146;1
1197;1989;11426;1
1199;1989;11022;1
1201;1989;11105;1
1201;1989;11772;1
1201;1989;12016;1
1201;1989;12056;1
1201;1989;12079;1
1220;1990;12146;1
1247;1992;11082;1
1247;1992;11093;1
1247;1992;11206;1
1247;1992;11249;1
1247;1992;11376;1
1247;1992;11403;1
1247;1992;11597;1
1247;1992;11842;1
1254;1992;11426;1
1258;1992;11393;1
1264;1993;12116;1
1268;1993;11154;1
1268;1993;11412;1
1268;1993;11568;1
1268;1993;11890;1
1268;1993;12087;1
1270;1993;12116;1
1272;1993;11256;1
1272;1993;11388;1
1272;1993;11411;1
1272;1993;11472;1
1272;1993;11643;1
1272;1993;11692;1
1272;1993;11740;1
1272;1993;11763;1
1272;1993;12085;1
1278;1994;11143;1
1280;1994;11091;1
1281;1994;11426;1
1283;1994;11154;1
1286;1994;11024;1
1286;1994;11140;1
1286;1994;11468;1
1286;1994;11861;1
1287;1994;11105;1
1287;1994;11231;1
1287;1994;11456;1
1287;1994;11730;1
1287;1994;11735;1
1287;1994;11811;1
1287;1994;12104;1
1293;1995;11082;1
1293;1995;11107;1
1293;1995;12148;1
1296;1995;11031;1
1296;1995;11140;1
1296;1995;11154;1
1296;1995;11521;1
1296;1995;11745;1
1296;1995;11784;1
1296;1995;11861;1
1296;1995;11932;1
1300;1995;11082;1
1300;1995;11810;1
1300;1995;11858;1
1300;1995;11942;1
